pid,meta_class,meta_town_code,meta_nbhd,meta_certified_est_bldg,meta_certified_est_land,meta_cdu,meta_deed_type,char_hd_sf,char_age,char_apts,char_ext_wall,char_roof_cnst,char_rooms,char_beds,char_bsmt,char_bsmt_fin,char_heat,char_oheat,char_air,char_frpl,char_attic_type,char_fbath,char_hbath,char_tp_plan,char_tp_dsgn,char_cnst_qlty,char_site,char_gar1_size,char_gar1_cnst,char_gar1_att,char_gar1_area,char_ot_impr,char_bldg_sf,char_repair_cnd,char_use,char_type_resd,char_attic_fnsh,char_renovation,char_porch,geo_property_city,geo_property_zip,geo_tract_pop,geo_white_perc,geo_black_perc,geo_asian_perc,geo_his_perc,geo_other_perc,geo_fips,geo_municipality,geo_ohare_noise,geo_floodplain,geo_fs_flood_factor,geo_fs_flood_risk_direction,geo_withinmr100,geo_withinmr101300,geo_school_elem_district,geo_school_hs_district,econ_tax_rate,econ_midincome,ind_large_home,ind_garage,ind_arms_length
11,206,23,23094,847000,165000,NA,W,7500,104,NA,1,1,11,6,1,3,1,5,1,0,1,2,1,2,2,2,2,3,1,2,2,0,4426,2,1,2,3,NA,NA,WILMETTE,60091,3503,0.8526976876962603,0.006851270339708821,0.07622038252926064,0.03968027405081359,0.049100770767913214,82075,Wilmette,0,0,1,0,0,0,SCH DISTRICT 39,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.823,194423,FALSE,TRUE,TRUE
12,206,31,31060,163100,25130,NA,O,5292,119,NA,1,1,9,5,1,3,2,5,2,0,1,2,0,2,NA,2,2,7,NA,NA,NA,0,2434,2,1,2,1,NA,NA,MAYWOOD,60153,4671,0.013059302076643117,0.6636694497966175,0.0038535645472061657,0.2980089916506101,0.04281738385784629,47774,Maywood,0,0,1,0,0,0,SCHOOL DISTRICT 89,PROVISO TOWNSHIP HIGH SCHOOL 209,21.667,50167,FALSE,FALSE,TRUE
13,295,35,35108,70110,62350,NA,W,4300,37,NA,1,1,6,3,2,3,1,5,2,0,3,1,1,2,NA,2,2,1,1,1,2,0,1179,2,1,2,NA,NA,NA,HANOVER PARK,60133,5223,0.6034845874018763,0.015316867700555237,0.15029676431169825,0.218648286425426,0.020103388856978748,32746,Hanover Park,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.825,80957,FALSE,TRUE,TRUE
14,203,31,31020,147560,23870,NA,W,4340,94,NA,2,1,5,2,1,3,1,5,1,0,1,2,0,2,2,2,2,3,1,2,2,0,1058,2,1,1,3,NA,1,BELLWOOD,60104,5020,0.04880478087649402,0.7386454183266933,7.968127490039841e-4,0.20916334661354583,0.0031872509960159364,04975,Bellwood,0,0,1,0,0,0,SCHOOL DISTRICT 88,PROVISO TOWNSHIP HIGH SCHOOL 209,19.52,52200,FALSE,TRUE,TRUE
15,203,70,70210,75040,24260,NA,W,3733,95,NA,1,1,6,3,1,3,1,5,2,0,1,1,0,2,NA,2,2,1,1,2,2,0,1072,2,1,1,3,NA,1,CHICAGO,60628,4116,0.017735665694849367,0.968172983479106,0.003401360544217687,0.002672497570456754,0.012633624878522837,14000,Chicago,0,0,1,0,0,0,BENNETT,HARLAN HS,6.908,40612,FALSE,TRUE,TRUE
16,234,70,70280,88470,32500,NA,W,5000,60,NA,3,1,5,3,3,1,1,5,1,0,3,1,0,NA,NA,2,2,3,1,2,2,0,1184,2,1,4,NA,NA,1,CHICAGO,60633,2726,0.40498899486427,0.03961848862802641,0,0.5553925165077036,0,14000,Chicago,0,0,4,1,0,0,GRISSOM,WASHINGTON HS,6.908,53125,FALSE,TRUE,TRUE
17,203,31,31020,153230,25510,NA,W,4639,69,NA,2,1,6,3,1,3,1,5,1,0,1,1,1,2,2,2,2,1,1,2,2,0,1298,2,1,5,1,NA,NA,BELLWOOD,60104,5922,0.03917595406957109,0.6761229314420804,0.020432286389733198,0.2595406957109085,0.009456264775413711,04975,Bellwood,0,0,3,1,0,0,SCHOOL DISTRICT 87,PROVISO TOWNSHIP HIGH SCHOOL 209,19.016,61484,FALSE,TRUE,TRUE
18,211,77,77115,85930,47000,NA,W,4000,114,2,2,1,8,4,1,3,1,5,2,0,1,2,0,2,2,2,2,1,1,2,2,0,1748,2,2,2,3,NA,NA,CHICAGO,60623,3943,0.03068729393862541,2.53613999492772e-4,0,0.9690590920618818,0,14000,Chicago,0,0,6,0,0,0,ORTIZ DE DOMINGUEZ,FARRAGUT HS,6.89,29773,FALSE,TRUE,TRUE
19,206,71,71430,304920,68970,NA,W,5518,95,NA,2,1,7,4,1,3,1,5,2,0,3,2,0,2,NA,2,2,3,2,2,2,0,2290,2,1,2,NA,NA,NA,CHICAGO,60656,4789,0.7053664648152015,0.01106702860722489,0.06890791396951347,0.20526205888494467,0.018793067446230945,14000,Chicago,0,0,1,0,0,0,GARVY,TAFT HS,6.884772382397572,75601,FALSE,TRUE,TRUE
20,204,29,29060,251880,49080,NA,W,14025,62,NA,1,1,8,4,3,3,1,5,1,1,3,2,1,2,2,2,2,3,1,1,2,0,2138,2,1,1,NA,NA,NA,PALATINE,60067,7183,0.7940971738827788,0.011276625365446193,0.14478630098844494,0.03703188082973688,0.02561603786718641,57225,Palatine,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,9.835,132222,FALSE,TRUE,TRUE
21,205,72,72380,200960,52080,NA,W,5208,65,NA,3,1,6,3,1,3,1,5,1,0,3,2,0,2,2,2,2,3,1,2,2,0,1858,2,1,2,NA,NA,NA,CHICAGO,60638,5502,0.5067248273355144,0.0021810250817884407,0,0.4910941475826972,0,14000,Chicago,0,0,1,0,0,0,KINZIE,KENNEDY HS,6.934,84805,FALSE,TRUE,TRUE
22,203,71,71390,184910,62500,NA,W,5000,60,NA,2,1,6,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,1,2,1,2,0,1316,2,1,1,NA,NA,NA,CHICAGO,60656,5707,0.8076046959873839,0.012265638689328895,0.0821797792185036,0.07569651305414403,0.04450674610127913,14000,Chicago,1,0,1,0,0,0,DIRKSEN,TAFT HS,6.884772382397572,41342,FALSE,TRUE,TRUE
23,204,19,19060,348710,83470,NA,T,66777,35,NA,3,1,7,3,3,3,1,5,1,1,2,2,1,1,NA,2,2,5,2,1,1,0,3295,2,1,5,1,NA,NA,LEMONT,60439,4560,0.8864035087719299,0.007675438596491228,0.025,0.07324561403508772,0.015350877192982455,NA,NA,0,0,1,0,0,0,COMBINED SCHOOL DISTRICT C.C. NO. 113A,LEMONT TOWNSHIP HIGH SCHOOL  210,7.395,124519,FALSE,TRUE,TRUE
24,278,29,29032,293390,66460,NA,T,10634,42,NA,1,1,8,4,1,3,1,5,1,1,3,2,1,2,NA,2,2,3,2,1,2,230,2608,1,1,2,NA,NA,NA,HOFFMAN ESTATES,60067,7183,0.7940971738827788,0.011276625365446193,0.14478630098844494,0.03703188082973688,0.02561603786718641,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C  15,PALATINE TOWNSHIP HIGH SCHOOL  211,10.068,132222,FALSE,TRUE,TRUE
25,278,38,38032,389190,63800,NA,W,10209,57,NA,3,1,9,6,1,3,1,5,2,1,3,2,1,2,2,2,2,3,2,1,2,0,2855,2,1,2,NA,NA,NA,ARLINGTON HEIGHTS,60005,5739,0.9604460707440321,0.009583551141313817,0.02247778358599059,0.0027879421502003832,0.009409304756926294,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,9.004,105114,FALSE,TRUE,TRUE
26,205,72,72321,61880,22840,NA,W,4154,76,NA,2,1,6,4,1,3,1,5,2,1,2,2,1,NA,NA,2,2,3,2,2,2,0,1476,2,1,2,3,NA,1,CHICAGO,60628,2110,0.022748815165876776,0.8696682464454977,0.00900473933649289,0.04691943127962085,0.05165876777251185,14000,Chicago,0,0,1,0,0,0,HALEY,FENGER HS,6.908,40167,FALSE,TRUE,TRUE
27,295,28,28103,205250,26160,NA,W,2379,19,NA,3,1,6,3,1,3,1,5,1,1,3,3,0,2,1,2,2,3,3,1,1,0,1993,2,1,2,NA,NA,NA,TINLEY PARK,60487,9619,0.8735835325917455,0.010604012891152927,0.04678240981390997,0.058322070901341096,0.021415947603701007,75484,Tinley Park,0,0,1,0,0,0,SCHOOL DISTRICT  140,CONSOLIDATED HIGH SCHOOL  230,11.122,97899,FALSE,TRUE,TRUE
28,234,31,31104,183300,47040,NA,T,7840,60,NA,3,1,6,3,3,1,1,5,1,0,3,1,0,2,2,2,2,3,1,2,2,0,1346,2,1,4,NA,NA,NA,WESTCHESTER,60154,5569,0.664571736397917,0.07739270964266474,0.059974860836775,0.19285329502603699,0.010414796193212426,80047,Westchester,0,0,1,0,0,0,SCHOOL DISTRICT 92 1/2,PROVISO TOWNSHIP HIGH SCHOOL 209,9.688,85958,FALSE,TRUE,TRUE
29,205,22,22111,237370,42500,NA,W,5000,74,NA,2,1,6,3,3,3,1,5,2,0,3,1,1,2,2,2,2,5,1,2,2,0,1240,2,1,2,NA,NA,NA,PARK RIDGE,60068,4826,0.8723580605055947,0.004765851636966432,0.01968503937007874,0.07666804807293826,0.05304600082884376,57875,Park Ridge,0,0,1,0,0,0,SCHOOL DISTRICT C C  64,MAINE TOWNSHIP HIGH SCHOOL  207,8.938,90504,FALSE,TRUE,TRUE
30,202,72,72330,40260,22500,NA,O,4092,95,NA,1,1,4,2,2,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,2,2,0,995,2,1,1,NA,NA,NA,CHICAGO,60628,2720,0,0.9955882352941177,0,0.004411764705882353,0,14000,Chicago,0,0,1,0,0,0,"HUGHES, L",HARLAN HS,6.908,39787,FALSE,TRUE,TRUE
31,205,27,27010,317330,94070,NA,W,7100,97,NA,2,5,6,3,1,1,2,5,2,1,1,2,1,2,NA,2,2,3,2,2,2,0,1873,2,1,2,3,NA,2,OAK PARK,60302,3989,0.7332664828277764,0.114063675106543,0.02958134870894961,0.04537478064677864,0.13938330408623714,54885,Oak Park,0,0,1,0,0,0,SCHOOL DISTRICT  97,CONSOLIDATED HIGH SCHOOL  200,13.157,228229,FALSE,TRUE,TRUE
32,203,72,72120,42610,23980,NA,W,3690,65,NA,2,1,4,2,1,3,1,5,2,0,3,1,0,2,NA,2,2,1,1,2,2,0,1082,2,1,1,NA,NA,NA,CHICAGO,60636,1905,5.249343832020997e-4,0.94750656167979,0,0.05196850393700787,0,14000,Chicago,0,0,6,1,0,0,O'TOOLE,HARPER HS,6.89,28466,FALSE,TRUE,TRUE
33,205,30,30070,112790,120250,NA,W,18500,79,NA,1,1,7,3,3,3,1,2,2,2,2,1,1,NA,NA,2,2,3,1,1,2,0,1504,2,1,2,3,NA,NA,PALOS PARK,60464,3650,0.8682191780821917,0.012602739726027398,0.0536986301369863,0.04575342465753424,0.036986301369863014,57407,Palos Park,0,0,1,0,0,0,SCHOOL DISTRICT C C  118,CONSOLIDATED HIGH SCHOOL  230,8.945,84116,FALSE,TRUE,TRUE
34,204,25,25051,254190,206130,NA,T,17178,53,NA,3,4,8,4,3,3,1,5,1,2,3,2,1,NA,NA,2,2,3,2,1,2,0,1927,2,1,1,NA,NA,NA,NORTHBROOK,60062,5907,0.8324022346368715,0,0.13712544438801422,0.01574403250380904,0.029456576942610464,NA,NA,0,0,1,0,0,0,SCHOOL DISTRICT 31,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,6.628,111912,FALSE,TRUE,TRUE
35,202,26,26010,183100,60370,NA,W,5250,63,NA,2,1,5,3,1,3,1,5,2,0,3,1,0,NA,NA,2,2,2,1,2,2,0,981,2,1,1,NA,NA,NA,NORRIDGE,60706,5243,0.8094602326912074,0,0.08640091550638947,0.10223154682433722,0.0038146099561319857,53377,Norridge,0,0,1,0,0,0,SCHOOL DISTRICT  80,COMMUNITY HIGH SCHOOL  234,7.539,69321,FALSE,TRUE,TRUE
36,211,77,77091,50030,55510,NA,W,4725,122,2,3,1,11,5,4,3,1,2,2,0,1,2,0,2,2,2,2,3,1,2,2,0,1707,2,2,2,1,2,1,CHICAGO,60623,3746,0,0.9965296316070476,0.0034703683929524828,0,0,14000,Chicago,0,0,1,0,0,0,MASON,INFINITY HS,6.913,28226,FALSE,TRUE,TRUE
37,202,71,71180,124810,53070,NA,W,3660,110,NA,2,1,5,2,1,3,1,5,2,0,2,1,0,2,2,2,2,3,1,2,2,0,930,2,1,5,1,NA,NA,CHICAGO,60639,3746,0.0811532301121196,0.03310197544046983,0.008542445274959957,0.8731980779498132,0.00400427122263748,14000,Chicago,0,0,1,0,0,0,NIXON,KELVYN PARK HS,6.915,42109,FALSE,TRUE,TRUE
38,203,11,11070,158510,40440,NA,W,3762,63,NA,2,1,5,3,1,3,1,5,1,0,3,1,0,2,NA,2,2,3,2,2,2,0,1118,2,1,1,NA,NA,NA,BERWYN,60402,8292,0.2575976845151954,0.011939218523878437,0.004100337674867342,0.7130969609261939,0.02653159671972986,05573,Berwyn,0,0,2,0,0,0,SCHOOL DISTRICT  100,BERWYN CICERO STICKNEY HIGH SCHOOL 201,15.456,62167,FALSE,TRUE,TRUE
39,278,76,76050,315710,105180,NA,W,3287,15,NA,2,1,5,3,1,3,1,5,1,0,3,2,1,2,2,2,2,3,1,2,2,0,2136,2,1,2,NA,NA,NA,CHICAGO,60608,4510,0.3711751662971175,0.015964523281596452,0.24212860310421286,0.3527716186252772,0.032815964523281595,14000,Chicago,0,0,9,0,0,0,ARMOUR,TILDEN HS,6.89,50982,FALSE,TRUE,TRUE
40,202,32,32190,41270,18300,NA,W,6100,50,NA,1,1,5,3,4,3,1,5,2,0,3,1,0,NA,NA,2,2,1,1,1,2,0,950,2,1,1,NA,NA,NA,RICHTON PARK,60471,5161,0.11858167021894982,0.8337531486146096,0.0036814570819608604,0.04223987599302461,0.0034876961829102887,63706,Richton Park,0,0,1,0,0,0,SCHOOL DISTRICT 162,RICH TOWNSHIP HIGH SCHOOL  227,18.063,44595,FALSE,TRUE,TRUE
41,202,37,37181,51200,23250,NA,W,6200,71,NA,1,1,4,2,1,1,1,5,2,0,3,1,0,2,2,2,2,2,1,2,2,0,825,2,1,1,3,NA,NA,LANSING,60438,4816,0.5371677740863787,0.29485049833887045,0.014742524916943521,0.1532392026578073,0,42028,Lansing,0,0,1,0,0,0,SCHOOL DISTRICT 158,THORNTON TWP FRACTIONAL HIGH SCHOOL 215,19.524,54940,FALSE,TRUE,TRUE
42,203,25,25010,123070,228000,NA,W,30400,72,NA,2,1,6,3,1,3,1,5,2,1,3,1,0,2,2,2,2,2,1,2,2,0,1186,2,1,1,NA,NA,NA,NORTHBROOK,60062,5600,0.8053571428571429,7.142857142857143e-4,0.14625,0.025535714285714287,0.04428571428571428,53481,Northbrook,0,0,1,0,0,0,SCHOOL DISTRICT 27,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.599,138992,FALSE,TRUE,TRUE
43,295,73,73011,284450,60060,NA,W,1001,21,NA,2,2,5,2,2,3,1,5,1,1,3,1,1,2,2,2,2,1,2,1,1,0,1742,2,1,3,NA,NA,NA,CHICAGO,60660,2582,0.5236250968241674,0.03679318357862122,0.06467854376452363,0.3222308288148722,0.09488768396591789,14000,Chicago,0,0,1,0,0,0,PEIRCE,SENN HS,6.89,50781,FALSE,TRUE,TRUE
44,203,38,38050,244670,50850,NA,T,8844,63,NA,2,1,6,3,1,1,1,5,1,0,2,1,0,NA,NA,2,2,1,2,1,2,0,1243,2,1,1,3,NA,NA,ARLINGTON HEIGHTS,60004,4746,0.8314369995785925,0.02064896755162242,0.07796038769490098,0.056890012642225034,0.026127265065318164,02154,Arlington Heights,0,0,1,0,0,0,SCHOOL DISTRICT 25,ARLINGTON HTS TWNSHP H S 214,9.004,102520,FALSE,TRUE,TRUE
45,208,23,23010,674070,176170,NA,W,13050,20,NA,2,1,10,4,1,1,1,5,1,3,2,4,1,2,1,1,2,5,2,1,2,0,4515,1,1,2,1,NA,NA,GLENCOE,60022,6421,0.8736956860302134,0.02055754555365208,0.03099205731194518,0.06930384675284224,0.010901728702694284,29652,Glencoe,0,0,1,0,0,0,SCH DISTRICT 35,NEW TRIER TOWNSHIP HIGH SCHOOL  203,8.481,194803,TRUE,TRUE,TRUE
46,205,23,23022,367140,135000,NA,W,6000,98,NA,1,1,7,3,1,3,1,5,2,1,2,1,0,2,NA,2,2,3,1,2,2,0,1620,2,1,2,3,NA,NA,WINNETKA,60093,3662,0.8697433096668488,0,0.06717640633533588,0.023484434735117424,0.07618787547788095,82530,Winnetka,0,0,6,0,0,1,SCH DISTRICT 36,NEW TRIER TOWNSHIP HIGH SCHOOL  203,7.997,250001,FALSE,TRUE,TRUE
47,203,31,31032,141290,22860,NA,W,4158,63,NA,2,1,5,3,1,3,1,5,2,0,2,1,0,2,NA,2,2,3,1,2,2,0,1043,2,1,1,3,NA,NA,BELLWOOD,60104,3294,0.060412871888281726,0.7292046144505161,0,0.14996964177292046,0.08955676988463873,04975,Bellwood,0,1,10,0,0,1,SCHOOL DISTRICT 88,PROVISO TOWNSHIP HIGH SCHOOL 209,19.52,63141,FALSE,TRUE,TRUE
48,203,36,36012,192750,42780,NA,W,5520,65,NA,2,1,5,2,1,3,1,5,1,0,2,1,0,2,2,2,2,1,1,2,2,0,1675,2,1,5,1,NA,NA,STICKNEY,60402,6732,0.39230540701128935,0.004901960784313725,0.02094474153297683,0.5439691027926322,0.07575757575757576,72676,Stickney,0,0,9,-1,0,0,SCHOOL DISTRICT  103,BERWYN CICERO STICKNEY HIGH SCHOOL 201,14.685,59467,FALSE,TRUE,TRUE
49,207,18,18010,152530,55180,NA,W,5660,40,NA,1,1,7,4,2,3,1,5,1,0,3,1,1,2,NA,2,2,3,1,1,1,0,1822,2,1,2,NA,NA,NA,STREAMWOOD,60107,7060,0.48937677053824363,0.05297450424929179,0.0708215297450425,0.3729461756373938,0.027762039660056657,73157,Streamwood,0,0,1,0,0,0,SCHOOL DISTRICT 46,SCHOOL DISTRICT 46,10.958,75682,FALSE,TRUE,TRUE
50,295,35,35160,168430,54320,NA,W,6391,28,NA,1,1,5,2,2,3,1,5,1,0,3,1,1,2,NA,2,2,3,1,1,1,0,1350,2,1,2,NA,NA,NA,HOFFMAN ESTATES,60169,6451,0.34862811967136875,0.1040148814137343,0.26771043249108667,0.2449232677104325,0.06944659742675555,35411,Hoffman Estates,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,10.04,62756,FALSE,TRUE,TRUE
51,278,35,35020,442050,42800,NA,W,10072,23,NA,1,1,8,3,3,3,1,5,1,1,3,2,1,2,1,2,2,5,1,1,2,0,3345,2,1,2,NA,NA,NA,SCHAUMBURG,60194,3351,0.5431214562817069,0.034318113995822144,0.24679200238734705,0.135183527305282,0.08116980005968367,68003,Schaumburg,0,0,1,0,0,0,SCHOOL DISTRICT C C 54,PALATINE TOWNSHIP HIGH SCHOOL  211,9.172189655172414,85040,FALSE,TRUE,TRUE
52,203,16,16061,136980,46110,NA,W,8784,54,NA,3,1,5,3,4,3,1,5,2,0,3,1,0,2,NA,2,2,1,3,1,2,0,1122,2,1,1,NA,NA,NA,ELK GROVE VILLAGE,60007,4876,0.8474159146841673,2.0508613617719443e-4,0.030352748154224774,0.11853978671041837,0.003486464315012305,23256,Elk Grove Village,0,0,1,0,0,0,SCHOOL DISTRICT C C  59,ARLINGTON HTS TWNSHP H S 214,8.349,65514,FALSE,TRUE,TRUE
53,211,77,77011,141460,36340,NA,O,3728,102,2,2,2,10,6,1,1,1,5,2,0,3,2,0,2,NA,2,2,3,1,2,2,0,2862,2,2,2,NA,NA,1,CHICAGO,60651,5396,0,0.7981838398813936,0,0.16716085989621943,0.04058561897702002,14000,Chicago,0,0,1,0,0,0,YOUNG,ORR HS,6.89,40349,FALSE,TRUE,TRUE
54,203,71,71090,213730,64690,NA,O,4462,112,NA,1,1,8,4,1,3,1,5,2,0,1,2,0,2,2,2,2,7,NA,NA,NA,0,1453,2,1,5,1,NA,1,CHICAGO,60630,5228,0.6008033664881408,0.01702371843917368,0.03385615914307575,0.2982019892884468,0.08626625860749809,14000,Chicago,0,0,1,0,0,0,PRUSSING,TAFT HS,6.884772382397572,64225,FALSE,FALSE,TRUE
55,211,77,77030,332520,79170,NA,W,3105,122,2,2,1,10,4,1,3,1,5,2,0,3,2,0,2,2,2,2,3,1,2,2,0,2272,2,2,2,NA,NA,NA,CHICAGO,60622,5752,0.48956884561891517,0.1385605006954103,0.017037552155771907,0.3482267037552156,0.01321279554937413,14000,Chicago,0,0,1,0,0,0,DIEGO,CLEMENTE HS,6.89,57362,FALSE,TRUE,TRUE
56,206,25,25131,334960,385130,NA,W,29626,65,NA,3,1,10,5,4,3,1,5,1,1,3,2,2,2,2,2,2,3,2,1,2,0,2880,2,1,2,NA,NA,NA,GLENVIEW,60025,3431,0.8700087438064704,0.0034975225881667153,0.06820169046925095,0.010492567764500145,0.09559895074322355,29938,Glenview,0,0,1,0,0,0,SCHOOL DISTRICT C C 34,NORTHFIELD TOWNSHIP HIGH SCHOOL  225,7.153,149286,FALSE,TRUE,TRUE
57,234,72,72312,77430,32600,NA,W,5016,43,NA,3,1,6,3,3,1,1,5,2,0,3,1,1,2,NA,2,2,7,NA,NA,NA,0,1104,2,1,4,NA,NA,NA,CHICAGO,60643,5893,0.16714746309180384,0.7690480230782284,6.787714237230613e-4,0.05735618530459868,0.01153911420329204,14000,Chicago,0,0,1,0,0,0,ESMOND,MORGAN PARK HS,6.908,54896,FALSE,FALSE,TRUE
58,203,11,11050,144110,40630,NA,W,3780,96,NA,3,1,7,4,1,1,2,5,1,0,1,1,1,2,NA,2,2,3,1,2,2,0,1602,2,1,5,1,NA,NA,BERWYN,60402,4158,0.18085618085618085,0.036315536315536315,0.031024531024531024,0.7518037518037518,0,05573,Berwyn,0,0,4,1,0,0,SCHOOL DISTRICT  100,BERWYN CICERO STICKNEY HIGH SCHOOL 201,15.456,65182,FALSE,TRUE,TRUE
